
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

71 110 1 -3
71 125 1 -4
71 141 1 -5
71 158 1 -6
71 176 1 -7
71 195 0 -8
71 215 0 -8
71 236 -0 -7
71 258 -1 -6
71 282 -2 -4
71 306 -3 -0
71 332 -4 4
71 359 -6 12
71 387 -7 21
71 417 -9 33
71 448 -11 47
71 479 -12 64
71 513 -13 82
71 547 -14 102
71 582 -14 124
71 618 -15 146
71 656 -14 169
71 694 -13 191
71 733 -12 211
71 773 -10 229
71 813 -8 245
71 854 -6 258
71 895 -3 268
71 937 -1 273
71 979 0 275
71 1020 3 274
71 1062 5 269
71 1104 6 260
71 1145 8 249
71 1186 9 235
71 1226 10 220
71 1266 11 203
71 1305 11 185
71 1343 11 168
71 1381 11 150
71 1417 10 133
71 1452 9 117
71 1486 9 102
71 1520 8 89
71 1551 7 77
71 1582 6 67
71 1612 5 59
71 1640 3 53
71 1667 2 48
71 1693 0 46
71 1717 -2 47
71 1741 -5 50
71 1763 -9 58
71 1784 -16 70
71 1804 -24 87
71 1823 -35 111
71 1841 -50 141
71 1858 -68 178
71 1874 -89 221
71 1889 -115 268
71 1903 -144 315
71 1916 -172 353
71 1928 -184 370
71 1940 -149 352
71 1951 -8 289
71 1961 296 192
71 1971 766 96
71 1980 1294 32
71 1988 1719 6
71 1996 1943 0
71 2000 2000 0
83 0 0 0
83 3 0 -0
83 11 0 -0
83 19 0 -0
83 28 0 -0
83 38 0 -0
83 48 0 -0
83 59 1 -0
83 71 1 -1
83 83 2 -1
83 96 2 -2
83 110 2 -3
83 125 2 -5
83 141 2 -6
83 158 2 -7
83 176 1 -8
83 195 0 -8
83 215 0 -8
83 236 -1 -8
83 258 -2 -6
83 282 -3 -3
83 306 -5 1
83 332 -7 8
83 359 -10 17
83 387 -12 28
83 417 -14 43
83 448 -17 59
83 479 -19 79
83 513 -21 101
83 547 -22 124
83 582 -23 150
83 618 -23 176
83 656 -22 202
83 694 -21 228
83 733 -19 252
83 773 -16 274
83 813 -13 294
83 854 -10 310
83 895 -6 322
83 937 -3 330
83 979 0 334
83 1020 4 334
83 1062 7 329
83 1104 10 321
83 1145 12 309
83 1186 14 294
83 1226 16 276
83 1266 17 257
83 1305 17 237
83 1343 17 216
83 1381 17 194
83 1417 16 174
83 1452 15 154
83 1486 14 136
83 1520 13 119
83 1551 11 104
83 1582 10 91
83 1612 8 81
83 1640 6 72
83 1667 3 67
83 1693 0 63
83 1717 -2 63
83 1741 -7 67
83 1763 -14 75
83 1784 -23 87
83 1804 -35 105
83 1823 -51 129
83 1841 -70 159
83 1858 -93 195
83 1874 -120 234
83 1889 -149 273
83 1903 -176 308
83 1916 -191 328
83 1928 -175 325
83 1940 -90 288
83 1951 112 220
83 1961 463 137
83 1971 929 64
83 1980 1403 20
83 1988 1765 3
83 1996 1952 0
83 2000 2000 0
96 0 0 0
96 3 0 -0
96 11 0 -0
96 19 0 -0
96 28 0 -0
96 38 1 -0
96 48 1 -0
96 59 1 -0
96 71 2 -1
96 83 2 -2
96 96 3 -3
96 110 3 -4
96 125 3 -5
96 141 3 -6
96 158 2 -7
96 176 2 -8
96 195 1 -9
96 215 -0 -8
96 236 -1 -7
96 258 -3 -5
96 282 -6 -1
96 306 -8 4
96 332 -11 13
96 359 -15 23
96 387 -18 37
96 417 -22 53
96 448 -25 72
96 479 -28 95
96 513 -30 120
96 547 -32 147
96 582 -33 175
96 618 -33 205
96 656 -32 234
96 694 -30 264
96 733 -28 291
96 773 -24 317
96 813 -20 339
96 854 -15 359
96 895 -10 374
96 937 -5 384
96 979 -0 391
96 1020 4 392
96 1062 9 389
96 1104 13 382
96 1145 17 370
96 1186 20 355
96 1226 22 336
96 1266 24 315
96 1305 25 292
